"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 02 21:03:29 GMT 2024","Tue Apr 02 21:03:30 GMT 2024","1018","","","","Task50Tests","UpdateUser_WithPatch_UpdateAge_Valid","Test Update User with PATCH - Updating Age",""
"passed","Tue Apr 02 21:03:26 GMT 2024","Tue Apr 02 21:03:27 GMT 2024","1055","","","","Task50Tests","UpdateUser_WithPatch_NameMissed_Invalid","Test Update User with PATCH - Name is Missing",""
"passed","Tue Apr 02 21:03:34 GMT 2024","Tue Apr 02 21:03:34 GMT 2024","11","","","","Task60Tests","DeleteUser_RequiredFieldNameMissing_Invalid","Test Delete User - Name is Not Specified",""
"passed","Tue Apr 02 21:03:34 GMT 2024","Tue Apr 02 21:03:34 GMT 2024","15","","","","Task60Tests","DeleteUser_UserDeleted_Valid","Test Delete User",""
"passed","Tue Apr 02 21:03:14 GMT 2024","Tue Apr 02 21:03:14 GMT 2024","10","","","","Task30Tests","CreateUser_RequiredFieldsOnlyPopulated_Valid","Test Create New User - Required Fields Only Popolated",""
"passed","Tue Apr 02 21:03:34 GMT 2024","Tue Apr 02 21:03:34 GMT 2024","43","","","","Task70Tests","UploadUsers_IncorrectZipCode_Invalid","Test Upload Users From JSON File - One User with Unavailable ZIP Code",""
"passed","Tue Apr 02 21:03:34 GMT 2024","Tue Apr 02 21:03:34 GMT 2024","8","","","","Task70Tests","UploadUsers_Valid","Test Upload Users From JSON File",""
"passed","Tue Apr 02 21:03:14 GMT 2024","Tue Apr 02 21:03:14 GMT 2024","19","","","","Task30Tests","CreateUser_UserAlreadyExists_Invalid","Test Create New User - User with specified Name/Sex already exists",""
"passed","Tue Apr 02 21:03:20 GMT 2024","Tue Apr 02 21:03:23 GMT 2024","3023","","","","Task40Tests","GetUsers_FilteredByYoungerThan_Valid","Test Get Users - Filtered by 'youngerThan'",""
"passed","Tue Apr 02 21:03:32 GMT 2024","Tue Apr 02 21:03:33 GMT 2024","1014","","","","Task50Tests","UpdateUser_WithPut_UnavailableZipCode_InValid","Test Update User with PUT - New ZIP Code is Unavailable",""
"passed","Tue Apr 02 21:03:31 GMT 2024","Tue Apr 02 21:03:32 GMT 2024","1018","","","","Task50Tests","UpdateUser_WithPut_SexMissed_Invalid","Test Update User with PUT - Sex is Missing",""
"passed","Tue Apr 02 21:03:14 GMT 2024","Tue Apr 02 21:03:14 GMT 2024","9","","","","Task20Tests","GetZipCodes_AvailableZipCodesReturned_Valid","Test Get Available ZIP Codes",""
"passed","Tue Apr 02 21:03:13 GMT 2024","Tue Apr 02 21:03:13 GMT 2024","385","","","","Task20Tests","ExpandZipCodes_NewZipCodesAdded_Valid","Test Add New ZIP Codes",""
"passed","Tue Apr 02 21:03:13 GMT 2024","Tue Apr 02 21:03:14 GMT 2024","109","","","","Task20Tests","ExpandZipCodes_NoDuplicatesCreatedForUsedZipCodes_Valid","Test Add New ZIP Codes - No Duplicates Are Created for Used ZIP Codes",""
"passed","Tue Apr 02 21:03:30 GMT 2024","Tue Apr 02 21:03:31 GMT 2024","1018","","","","Task50Tests","UpdateUser_WithPut_NameMissed_Invalid","Test Update User with PUT - Name is Missing",""
"passed","Tue Apr 02 21:03:28 GMT 2024","Tue Apr 02 21:03:29 GMT 2024","1015","","","","Task50Tests","UpdateUser_WithPatch_UnavailableZipCode_InValid","Test Update User with PATCH - New ZIP Code is Unavailable",""
"passed","Tue Apr 02 21:03:17 GMT 2024","Tue Apr 02 21:03:20 GMT 2024","3026","","","","Task40Tests","GetUsers_FilteredBySex_Valid","Test Get Users - Filtered by 'sex'",""
